Date,NTDOY,SONY,MSFT,ATVI,EA,TTWO,NCBDY,CCOEY,TCEHY,SQNXF
2021-03-19,2694500,0,0,13501000,0,1804500,1151700,1151700,2503300,0
2021-03-22,0,2082100,30127000,4290000,3153600,1127400,0,0,1853100,0
2021-03-23,0,0,31638400,0,2521200,1622700,0,0,0,0
2021-03-24,0,0,0,0,0,0,0,0,0,0
2021-03-25,0,971200,0,5016700,1956600,806000,546500,546500,4747400,0
2021-03-26,0,823900,25479900,6161300,2229500,1066000,778900,778900,5923100,0
2021-03-29,0,817100,0,8660800,2366900,1208600,857700,857700,0,0
2021-03-30,1211500,695100,0,6147900,1952000,2053200,0,0,1715900,200
2021-03-31,2850000,597500,43623500,6522700,2305100,0,741100,741100,3769500,0
2021-04-01,1889000,450100,30338000,6085500,1724900,1211600,0,0,0,0
2021-04-02,0,0,0,0,0,0,0,0,0,0
2021-04-05,0,832400,36910600,5251600,2424400,1330100,0,0,0,0
2021-04-06,0,0,22931900,0,2129800,1198100,0,0,2199800,100
2021-04-07,2093000,489300,22719800,4469200,1910200,0,0,0,20574000,0
2021-04-08,755500,562500,23625200,0,0,0,558700,558700,3793400,0
2021-04-09,887000,823200,24326800,0,0,850900,1186900,1186900,0,0
2021-04-12,889000,0,27148700,4719900,2058100,861700,0,0,2808600,0
2021-04-13,1827000,0,23837500,5710800,0,0,642800,642800,2735300,0
2021-04-14,0,0,0,0,0,0,0,0,0,0
2021-04-15,1183500,508200,25627500,7324200,1654300,857000,353200,353200,2162900,3600
2021-04-16,1496500,0,24878600,0,0,0,0,0,0,0
2021-04-19,0,0,0,0,0,0,0,0,0,400
2021-04-20,0,0,19722900,0,2058300,0,0,0,0,0
2021-04-21,989500,559200,24030400,0,1576700,0,0,0,1760800,100
2021-04-22,0,0,0,5742700,2498500,993200,689200,689200,1693100,0
2021-04-23,0,428500,21462600,0,2365300,0,418900,418900,1640000,0
2021-04-26,6111500,0,0,5055900,1749200,759600,639200,639200,0,0
2021-04-27,1470500,1559200,31014200,0,0,0,522300,522300,1812400,0
2021-04-28,942000,0,0,0,0,0,598900,598900,1132900,200
2021-04-29,0,0,0,4796400,1698700,940200,0,0,0,0
2021-04-30,1515500,0,30945100,0,0,672100,592300,592300,0,0
2021-05-03,2146000,0,0,0,0,0,0,0,0,0
2021-05-04,0,0,0,0,0,0,0,0,0,0
2021-05-05,2181500,0,0,0,0,0,0,0,1176900,0
2021-05-06,3800000,0,26491100,8024600,1957300,1081200,942400,942400,1513700,0
2021-05-07,0,878500,27032900,6511800,0,0,0,0,1472500,0
2021-05-10,0,0,0,0,0,0,823800,823800,0,100
2021-05-11,5854500,976200,33641600,6530700,4112800,1176300,0,0,1961900,0
2021-05-12,0,0,0,0,0,0,1118500,1118500,0,0
2021-05-13,0,1241900,29624300,0,2322900,0,0,0,0,100
2021-05-14,1918500,696700,23901100,0,0,1524000,981600,981600,2847200,100
2021-05-17,1740500,0,0,0,2031200,1289700,0,0,1981000,300
2021-05-18,0,912400,0,6263000,2079500,0,635700,635700,1869400,0
2021-05-19,1964500,534400,25739800,4213900,1720100,4221600,641800,641800,2873000,0
2021-05-20,5358000,518700,21800700,6742700,2459000,2254100,550300,550300,0,0
2021-05-21,0,0,0,0,0,0,588500,588500,0,0
2021-05-24,2657500,0,21411500,3196800,1649800,1015100,461900,461900,1787700,200
2021-05-25,0,0,0,0,1897000,0,0,0,0,0
2021-05-26,0,0,17771600,3880500,0,816900,653900,653900,0,100
2021-05-27,1328500,549700,0,7742700,0,1549500,0,0,0,0
2021-05-28,1156000,0,0,0,0,0,843200,843200,1333600,0
2021-05-31,0,0,0,0,0,0,0,0,0,0
2021-06-01,1492000,0,0,0,2610300,0,0,0,2345000,0
2021-06-02,0,0,0,0,0,0,695700,695700,1219900,0
2021-06-03,1557000,754700,25307700,3805100,1574900,0,483400,483400,0,20000
2021-06-04,784000,891400,25281100,2990800,1919500,1321400,0,0,1123300,0
2021-06-07,863000,1206100,23079200,2655200,1510500,1396800,0,0,1610300,0
2021-06-08,0,0,0,0,0,0,0,0,0,0
2021-06-09,912000,0,0,0,0,0,565500,565500,0,0
2021-06-10,1015500,569400,24563600,4409500,0,913900,645200,645200,4021400,1500
2021-06-11,1077500,601900,0,4112700,1247500,660800,1397900,1397900,2809300,200
2021-06-14,0,486400,19150500,5834400,1746200,853700,0,0,0,0
2021-06-15,0,0,0,0,0,0,710500,710500,0,200
2021-06-16,0,0,0,0,0,0,0,0,0,0
2021-06-17,2400500,734200,27565500,0,0,0,0,0,1884400,0
2021-06-18,0,0,0,0,0,1601600,0,0,1264400,0
2021-06-21,1276500,1062800,26696100,0,2628500,1290100,0,0,0,0
2021-06-22,1059500,717300,24694100,0,0,1083100,667900,667900,0,0
2021-06-23,1012500,0,0,0,0,0,0,0,0,300
2021-06-24,1052500,379000,21446900,5640100,1642900,1375100,436900,436900,2212600,0
2021-06-25,1278000,523500,0,0,0,0,0,0,2398300,3100
2021-06-28,1796000,821600,19590000,7032900,2626800,1525400,0,0,1242900,0
2021-06-29,2051000,597700,19937800,4160300,1575400,818100,533000,533000,1567300,0
2021-06-30,1016500,0,21656500,0,0,0,0,0,0,400
2021-07-01,813000,499900,16725300,0,0,1052500,0,0,0,0
