Date,NTDOY,SONY,MSFT,ATVI,EA,TTWO,NCBDY,CCOEY,TCEHY,SQNXF,1,2,3,4,5,6,7,8,9,10
2020-07-22,0,0,0,0,0,0,0,0,0,0,0.0,417000.0,49605700.0,2937400.0,0.0,0.0,717800.0,0.0,0.0,0.0
2020-07-23,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-24,0,0,0,0,0,0,0,0,0,0,0.0,535500.0,39827000.0,4371200.0,3280200.0,1354100.0,1641900.0,0.0,0.0,0.0
2020-07-27,0,0,0,0,0,0,0,0,0,0,511000.0,911200.0,30160900.0,3777200.0,3742600.0,1819200.0,1144100.0,586300.0,586300.0,0.0
2020-07-28,0,0,0,0,0,0,0,0,0,0,822500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
2020-07-29,0,0,0,0,0,0,0,0,0,0,1025500.0,530400.0,19632600.0,0.0,2203200.0,1532800.0,686600.0,0.0,0.0,0.0
2020-07-30,0,0,0,0,0,0,0,0,0,0,648500.0,624300.0,25079600.0,4034000.0,2107300.0,2717700.0,954800.0,0.0,0.0,0.0
2020-07-31,0,0,0,0,0,0,0,0,0,0,0.0,1112900.0,51044000.0,0.0,0.0,0.0,1762400.0,0.0,0.0,0.0
2020-08-03,0,0,0,0,0,0,0,0,0,0,1445000.0,2149700.0,78983000.0,8589600.0,3002200.0,2233800.0,3615000.0,682900.0,682900.0,500.0
2020-08-04,0,0,0,0,0,0,0,0,0,0,3666000.0,0.0,0.0,0.0,2025400.0,2680300.0,4555500.0,868400.0,868400.0,0.0
2020-08-05,0,0,0,0,0,0,0,0,0,0,3224000.0,0.0,0.0,0.0,2474000.0,1936900.0,1646300.0,701800.0,701800.0,1000.0
2020-08-06,0,0,0,0,0,0,0,0,0,0,0.0,0.0,32656800.0,0.0,1856000.0,1671700.0,1153200.0,0.0,0.0,1900.0
2020-08-07,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1706200.0,1706200.0,700.0
2020-08-10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9031000.0,0.0,0.0,0.0,0.0,300.0
2020-08-11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2057700.0,2057700.0,0.0
2020-08-12,0,0,0,0,0,0,0,0,0,0,2239000.0,1233600.0,28013100.0,6198600.0,3888700.0,1714200.0,1233900.0,989500.0,989500.0,700.0
2020-08-13,0,0,0,0,0,0,0,0,0,0,751000.0,1794200.0,0.0,0.0,0.0,1191200.0,784900.0,920300.0,920300.0,0.0
2020-08-14,0,0,0,0,0,0,0,0,0,0,527000.0,0.0,17958900.0,0.0,0.0,0.0,1085800.0,0.0,0.0,200.0
2020-08-17,0,0,0,0,0,0,0,0,0,0,1221500.0,0.0,20184800.0,7091800.0,2043800.0,1481000.0,0.0,426600.0,426600.0,300.0
2020-08-18,0,0,0,0,0,0,0,0,0,0,2450000.0,0.0,21336200.0,4479300.0,0.0,1413900.0,828000.0,626500.0,626500.0,600.0
2020-08-19,0,0,0,0,0,0,0,0,0,0,2066500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-20,0,0,0,0,0,0,0,0,0,0,3953000.0,1224700.0,26981500.0,5604100.0,1669900.0,1268100.0,1148900.0,0.0,0.0,200.0
2020-08-21,0,0,0,0,0,0,0,0,0,0,4592500.0,1337000.0,0.0,0.0,3435700.0,0.0,0.0,654700.0,654700.0,0.0
2020-08-24,0,0,0,0,0,0,0,0,0,0,3133500.0,0.0,0.0,0.0,0.0,1842600.0,0.0,455900.0,455900.0,100.0
2020-08-25,0,0,0,0,0,0,0,0,0,0,8956500.0,636000.0,23043700.0,3659000.0,3723500.0,857600.0,700600.0,0.0,0.0,0.0
2020-08-26,0,0,0,0,0,0,0,0,0,0,5314000.0,900600.0,39600800.0,7046400.0,0.0,1580500.0,892900.0,399400.0,399400.0,600.0
2020-08-27,0,0,0,0,0,0,0,0,0,0,0.0,0.0,57602200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-28,0,0,0,0,0,0,0,0,0,0,3985000.0,1010000.0,26292900.0,0.0,2338000.0,0.0,0.0,0.0,0.0,0.0
2020-08-31,0,0,0,0,0,0,0,0,0,0,3435000.0,0.0,0.0,6269500.0,0.0,0.0,918500.0,0.0,0.0,0.0
2020-09-01,0,0,0,0,0,0,0,0,0,0,12259500.0,1061900.0,25725500.0,0.0,2989300.0,0.0,913400.0,509600.0,509600.0,0.0
2020-09-02,0,0,0,0,0,0,0,0,0,0,0.0,0.0,34080800.0,0.0,0.0,2337400.0,0.0,0.0,0.0,0.0
2020-09-03,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2020-09-04,0,0,0,0,0,0,0,0,0,0,3591000.0,0.0,0.0,0.0,3439900.0,0.0,0.0,0.0,0.0,0.0
2020-09-07,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
